national_park,pos,review_year,tokens,counts
Acadia National Park,ADJ,2018,consecutive,1
Acadia National Park,ADJ,2018,continental,1
Acadia National Park,ADJ,2018,convenient,2
Acadia National Park,ADJ,2018,cool,23
Acadia National Park,ADJ,2018,cooler,6
Acadia National Park,ADJ,2018,coolest,1
Acadia National Park,ADJ,2018,correct,1
Acadia National Park,ADJ,2018,corse,1
Acadia National Park,ADJ,2018,costal,1
Acadia National Park,ADJ,2018,costly,1
Acadia National Park,ADJ,2018,countless,2
Acadia National Park,ADJ,2018,coveted,1
Acadia National Park,ADJ,2018,cozy,1
Acadia National Park,ADJ,2018,craggy,2
Acadia National Park,ADJ,2018,crazy,2
Acadia National Park,ADJ,2018,crisp,2
Acadia National Park,ADJ,2018,cross,1
Acadia National Park,ADJ,2018,crouded,1
Acadia National Park,ADJ,2018,crowded,34
Acadia National Park,ADJ,2018,cute,4
Acadia National Park,ADJ,2018,daily,2
Acadia National Park,ADJ,2018,damp,1
Acadia National Park,ADJ,2018,daytime,1
Acadia National Park,ADJ,2018,decent,1
Acadia National Park,ADJ,2018,dedicated,1
Acadia National Park,ADJ,2018,deep,1
Acadia National Park,ADJ,2018,definite,4
Acadia National Park,ADJ,2018,delicious,3
Acadia National Park,ADJ,2018,delightful,1
Acadia National Park,ADJ,2018,delish,1
Acadia National Park,ADJ,2018,dense,1
Acadia National Park,ADJ,2018,designated,1
Acadia National Park,ADJ,2018,detailed,1
Acadia National Park,ADJ,2018,devoted,1
Acadia National Park,ADJ,2018,different,52
Acadia National Park,ADJ,2018,difficult,32
Acadia National Park,ADJ,2018,direct,1
Acadia National Park,ADJ,2018,directional,1
Acadia National Park,ADJ,2018,disappointed,9
Acadia National Park,ADJ,2018,diverse,3
Acadia National Park,ADJ,2018,doable,3
Acadia National Park,ADJ,2018,dolphin,1
Acadia National Park,ADJ,2018,down,1
Acadia National Park,ADJ,2018,dramatic,1
Acadia National Park,ADJ,2018,drivable,1
Acadia National Park,ADJ,2018,dull,1
Acadia National Park,ADJ,2018,e.g.,2
Acadia National Park,ADJ,2018,eager,1
Acadia National Park,ADJ,2018,earliest,2
Acadia National Park,ADJ,2018,early,31
Acadia National Park,ADJ,2018,easier,9
Acadia National Park,ADJ,2018,easiest,1
Acadia National Park,ADJ,2018,east,5
Acadia National Park,ADJ,2018,eastern,1
Acadia National Park,ADJ,2018,easy,95
Acadia National Park,ADJ,2018,easygoing,1
Acadia National Park,ADJ,2018,educational,1
Acadia National Park,ADJ,2018,efficient,3
Acadia National Park,ADJ,2018,electric,1
Acadia National Park,ADJ,2018,electrical,1
Acadia National Park,ADJ,2018,elementary,1
Acadia National Park,ADJ,2018,elevated,1
Acadia National Park,ADJ,2018,emotional,1
Acadia National Park,ADJ,2018,empty,2
Acadia National Park,ADJ,2018,endless,1
Acadia National Park,ADJ,2018,enjoyable,9
Acadia National Park,ADJ,2018,enough,33
Acadia National Park,ADJ,2018,entertained,1
Acadia National Park,ADJ,2018,entire,22
Acadia National Park,ADJ,2018,epic,1
Acadia National Park,ADJ,2018,equal,2
Acadia National Park,ADJ,2018,equivalent,1
Acadia National Park,ADJ,2018,escorted,1
Acadia National Park,ADJ,2018,ethereal,1
Acadia National Park,ADJ,2018,exact,2
Acadia National Park,ADJ,2018,excellent,21
Acadia National Park,ADJ,2018,exceptional,1
Acadia National Park,ADJ,2018,exciting,6
Acadia National Park,ADJ,2018,exhilarating,2
Acadia National Park,ADJ,2018,expansive,2
Acadia National Park,ADJ,2018,expensive,7
Acadia National Park,ADJ,2018,experienced,1
Acadia National Park,ADJ,2018,exploring,1
Acadia National Park,ADJ,2018,exquisite,1
Acadia National Park,ADJ,2018,extended,1
Acadia National Park,ADJ,2018,extensive,2
Acadia National Park,ADJ,2018,extra,6
Acadia National Park,ADJ,2018,extrordinary,1
Acadia National Park,ADJ,2018,fabulous,12
Acadia National Park,ADJ,2018,fair,1
Acadia National Park,ADJ,2018,familiar,1
Acadia National Park,ADJ,2018,famous,6
Acadia National Park,ADJ,2018,fanatic,1
Acadia National Park,ADJ,2018,fantastic,26
Acadia National Park,ADJ,2018,fascinating,1
Acadia National Park,ADJ,2018,fast,2
Acadia National Park,ADJ,2018,faster,1
Acadia National Park,ADJ,2018,favorite,25
Acadia National Park,ADJ,2018,favourite,2
Acadia National Park,ADJ,2018,featured,1
Acadia National Park,ADJ,2018,female,1
Acadia National Park,ADJ,2018,fierce,1
Acadia National Park,ADJ,2018,fifth,3
Acadia National Park,ADJ,2018,final,2
Acadia National Park,ADJ,2018,fine,3
Acadia National Park,ADJ,2018,first,75
Acadia National Park,ADJ,2018,flat,5
Acadia National Park,ADJ,2018,flatter,1
Acadia National Park,ADJ,2018,foggy,18
Acadia National Park,ADJ,2018,fond,1
Acadia National Park,ADJ,2018,foreign,1
Acadia National Park,ADJ,2018,forgot,1
Acadia National Park,ADJ,2018,former,1
Acadia National Park,ADJ,2018,fortunate,10
Acadia National Park,ADJ,2018,foul,1
Acadia National Park,ADJ,2018,fourth,1
